127.0.0.1 - - [29/Mar/2023:11:27:36 +0800] "DELETE /nacos/v1/ns/instance?ephemeral=true&serviceName=DEFAULT_GROUP@@userservice&port=8101&namespaceId=public&ip=172.27.178.59&clusterName=DEFAULT&?encoding=UTF-8&nofix=1 HTTP/1.1" 200 2 1 Nacos-Server:1.4.1 -
127.0.0.1 - - [29/Mar/2023:11:27:40 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 51 1 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:40 +0800] "POST /nacos/v1/ns/instance?app=unknown&groupName=DEFAULT_GROUP&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&namespaceId=public&port=8101&enable=true&healthy=true&clusterName=DEFAULT&ip=172.27.178.59&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40userservice HTTP/1.1" 200 2 2 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:44 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=172.27.178.59&serviceName=DEFAULT_GROUP%40%40userservice&udpPort=59744&clusters=DEFAULT HTTP/1.1" 200 571 2 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:45 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 75 0 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:50 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 75 2 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:54 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=172.27.178.59&serviceName=DEFAULT_GROUP%40%40userservice&udpPort=59744&clusters=DEFAULT HTTP/1.1" 200 571 1 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:27:55 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 75 1 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:28:00 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 75 1 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:28:04 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=172.27.178.59&serviceName=DEFAULT_GROUP%40%40userservice&udpPort=59744&clusters=DEFAULT HTTP/1.1" 200 571 1 Nacos-Java-Client:v1.4.2 -
127.0.0.1 - - [29/Mar/2023:11:28:05 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userservice&namespaceId=public&port=8101&clusterName=DEFAULT&ip=172.27.178.59 HTTP/1.1" 200 75 1 Nacos-Java-Client:v1.4.2 -
